Disease,Section,Content,URL
Abortion,Key facts,Six out of 10 unintended pregnancies end in induced abortion.,https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Key facts,"Abortion is a common health intervention. It is very safe when carried out using a method recommended by WHO, appropriate to the pregnancy duration and by someone with the necessary skills.",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Key facts,"However, around 45% of abortions are unsafe.",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Key facts,"Unsafe abortion is an important preventable cause of maternal deaths and morbidities. It can lead to physical and mental health complications and social and financial burdens for women, communities and health systems.",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Key facts,"Lack of access to safe, timely, affordable and respectful abortion care is a critical public health and human rights issue.",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Overview,"Around 73 million induced abortions take place worldwide each year. Six out of 10 (61%) of all unintended pregnancies, and 3 out of 10 (29%) of all pregnancies, end in induced abortion(1).",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Overview,"Comprehensive abortion care is included in thelist of essential health care servicespublished by WHO in 2020. Abortion is a simple health care intervention that can be safely and effectively managed by a wide range of health workers using medication or a surgical procedure. In the first 12 weeks of pregnancy, a medical abortion can also be
    safely self-managed by the pregnant person outside of a health care facility (e.g. at home), in whole or in part. This requires that the woman has access to accurate information, quality medicines and support from a trained health worker (if she
    needs or wants it during the process).",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Overview,"Comprehensive abortion care includes the provision of information, abortion management and post-abortion care. Abortion management includes induced abortion (the deliberate interruption of an ongoing pregnancy by medical or surgical means), care related to pregnancy loss (e.g., miscarriage/spontaneous abortion, missed abortion and intrauterine fetal demise), and management of complications after an abortion.",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Overview,The information in this fact sheet focuses on care related to induced abortion.,https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Scope of the problem,"When carried out using a method recommended by WHO appropriate to the pregnancy duration, and by someone with the necessary skills, abortion is a safe health care intervention(2).",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Scope of the problem,"However, when people with unintended pregnancies face barriers to attaining safe, timely, affordable, geographically reachable, respectful and non-discriminatory abortion care, they may resort to unsafe abortion.1",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Scope of the problem,"Global estimates from 2010–2014 demonstrate that 45% of all induced abortions are unsafe. Of all unsafe abortions, one third were performed under the least safe conditions, i.e. by untrained persons using dangerous and invasive methods. More than half of all these unsafe abortions occurred in Asia, most of them in south and central Asia. In Latin America and Africa, the majority (approximately 3 out of 4) of all abortions were unsafe. In Africa, nearly half of all abortions occurred under the least safe circumstances(3).",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Consequences of inaccessible quality abortion care,"Lack of access to safe, affordable, timely and respectful abortion care, and the stigma associated with abortion, pose risks to women’s physical and mental well-being throughout the life-course.",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Consequences of inaccessible quality abortion care,"Inaccessibility of quality abortion care risks violating a range of human rights of women and girls, including the right to life; the right to the highest attainable standard of physical and mental health; the right to benefit from scientific progress
    and its realization; the right to decide freely and responsibly on the number, spacing and timing of children; and the right to be free from torture, cruel, inhuman and degrading treatment and punishment.",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Consequences of inaccessible quality abortion care,Maternal deaths due to unsafe abortion are often misclassified and underreported due to stigma. A review from 2009–20 found that 8% of maternal deaths were linked to abortion(4).,https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Consequences of inaccessible quality abortion care,"While deaths from safe abortion are negligible, <1/100 000, in regions where unsafe abortions are common, the death rates are high, at > 200/100 000 abortions(4). Estimates from 2012 indicate that in developing countries alone, 7 million women per year were treated in hospital facilities for complications of unsafe abortion(5).",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Consequences of inaccessible quality abortion care,Physical health risks associated with unsafe abortion include:,https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Consequences of inaccessible quality abortion care,incomplete abortion (failure to remove or expel all pregnancy tissue from the uterus);,https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Consequences of inaccessible quality abortion care,uterine perforation (caused when the uterus is pierced by a sharp object); and,https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Consequences of inaccessible quality abortion care,damage to the genital tract and internal organs as a consequence of inserting dangerous objects into the vagina or anus.,https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Consequences of inaccessible quality abortion care,"Restrictive abortion regulation can cause distress and stigma, and risk constituting a violation of human rights of women and girls, including the right to privacy and the right to non-discrimination and equality, while also imposing financial burdens on women and girls. Regulations that force women to travel to attain legal care, or require mandatory counselling or waiting periods, lead to loss of income and other financial costs, and can make abortion inaccessible to women with low resources(6,7).",https://www.who.int/news-room/fact-sheets/detail/abortion
